ID,SKU,Nombre,Publicado,"Visibilidad en el catálogo",Categorías,Imágenes
498,AR-COCO-ZEN-250,"Aroma Coco Zen - 250 mL",1,visible,,
499,AR-COCO-ZEN-500,"Aroma Coco Zen - 500 mL",1,visible,,
500,AR-COCO-ZEN-1L,"Aroma Coco Zen - 1 L",1,visible,,
501,AR-COOKIE-FOREST-150,"Aroma Cookie Forest - 150 mL",1,visible,,
502,AR-COOKIE-FOREST-250,"Aroma Cookie Forest - 250 mL",1,visible,,
503,AR-COOKIE-FOREST-500,"Aroma Cookie Forest - 500 mL",1,visible,,
504,AR-COOKIE-FOREST-1L,"Aroma Cookie Forest - 1 L",1,visible,,
505,AR-CORTEZA-150,"Aroma Corteza - 150 mL",1,visible,,
506,AR-CORTEZA-250,"Aroma Corteza - 250 mL",1,visible,,
507,AR-CORTEZA-500,"Aroma Corteza - 500 mL",1,visible,,
508,AR-CORTEZA-1L,"Aroma Corteza - 1 L",1,visible,,
509,AR-DARK-MOTION-150,"Aroma Dark Motion - 150 mL",1,visible,,
510,AR-DARK-MOTION-250,"Aroma Dark Motion - 250 mL",1,visible,,
511,AR-DARK-MOTION-500,"Aroma Dark Motion - 500 mL",1,visible,,
512,AR-DARK-MOTION-1L,"Aroma Dark Motion - 1 L",1,visible,,
513,AR-DELICIA-150,"Aroma Delicia - 150 mL",1,visible,,
514,AR-DELICIA-250,"Aroma Delicia - 250 mL",1,visible,,
515,AR-DELICIA-500,"Aroma Delicia - 500 mL",1,visible,,
516,AR-DELICIA-1L,"Aroma Delicia - 1 L",1,visible,,
517,AR-DREAM-LOVE-150,"Aroma Dream Love - 150 mL",1,visible,,
518,AR-DREAM-LOVE-250,"Aroma Dream Love - 250 mL",1,visible,,
519,AR-DREAM-LOVE-500,"Aroma Dream Love - 500 mL",1,visible,,
520,AR-DREAM-LOVE-1L,"Aroma Dream Love - 1 L",1,visible,,
521,AR-DULCE-ESTACION,"Aroma Dulce Estación",1,visible,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/dulce-estacion.png
522,AR-FLORAL-BREEZE,"Aroma Floral Breeze",1,visible,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/floral-breeze.png
523,AR-FRESH,"Aroma Fresh",0,visible,Aromas,
524,AR-GLAMOUR,"Aroma Glamour",1,visible,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/glamour.png
525,AR-GOLDEN,"Aroma Golden",1,visible,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/golden.png
526,AR-HONEY,"Aroma Honey",1,visible,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/honey.png
527,AR-DULCE-ESTACION-150,"Aroma Dulce Estación - 150 mL",1,visible,,
528,AR-DULCE-ESTACION-250,"Aroma Dulce Estación - 250 mL",1,visible,,
529,AR-DULCE-ESTACION-500,"Aroma Dulce Estación - 500 mL",1,visible,,
530,AR-DULCE-ESTACION-1L,"Aroma Dulce Estación - 1 L",1,visible,,
531,AR-FLORAL-BREEZE-150,"Aroma Floral Breeze - 150 mL",1,visible,,
532,AR-FLORAL-BREEZE-250,"Aroma Floral Breeze - 250 mL",1,visible,,
533,AR-FLORAL-BREEZE-500,"Aroma Floral Breeze - 500 mL",1,visible,,
534,AR-FLORAL-BREEZE-1L,"Aroma Floral Breeze - 1 L",1,visible,,
535,AR-FRESH-150,"Aroma Fresh - 150 mL",0,visible,,
536,AR-FRESH-250,"Aroma Fresh - 250 mL",0,visible,,
537,AR-FRESH-500,"Aroma Fresh - 500 mL",0,visible,,
538,AR-FRESH-1L,"Aroma Fresh - 1 L",0,visible,,
539,AR-GLAMOUR-150,"Aroma Glamour - 150 mL",1,visible,,
540,AR-GLAMOUR-250,"Aroma Glamour - 250 mL",1,visible,,
541,AR-GLAMOUR-500,"Aroma Glamour - 500 mL",1,visible,,
542,AR-GLAMOUR-1L,"Aroma Glamour - 1 L",1,visible,,
543,AR-GOLDEN-150,"Aroma Golden - 150 mL",1,visible,,
544,AR-GOLDEN-250,"Aroma Golden - 250 mL",1,visible,,
545,AR-GOLDEN-500,"Aroma Golden - 500 mL",1,visible,,
546,AR-GOLDEN-1L,"Aroma Golden - 1 L",1,visible,,
547,AR-HONEY-150,"Aroma Honey - 150 mL",1,visible,,
548,AR-HONEY-250,"Aroma Honey - 250 mL",1,visible,,
549,AR-HONEY-500,"Aroma Honey - 500 mL",1,visible,,
550,AR-HONEY-1L,"Aroma Honey - 1 L",1,visible,,
551,AR-LAVANDA-FRANCESA,"Aroma Lavanda Francesa",1,visible,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/lavanda-francesa.png
552,AR-MACCHIATO,"Aroma Macchiato",1,visible,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/macchiato.png
553,AR-MANGO-TROPICAL,"Aroma Mango Tropical",1,visible,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/mango-tropical.png
554,AR-MATCHA,"Aroma Matcha",1,visible,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/matcha.png
555,AR-MOCA,"Aroma Moca",0,visible,Aromas,
556,AR-MOONLIGHT,"Aroma Moonlight",1,visible,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/moonlight.png
557,AR-LAVANDA-FRANCESA-150,"Aroma Lavanda Francesa - 150 mL",1,visible,,
558,AR-LAVANDA-FRANCESA-250,"Aroma Lavanda Francesa - 250 mL",1,visible,,
559,AR-LAVANDA-FRANCESA-500,"Aroma Lavanda Francesa - 500 mL",1,visible,,
560,AR-LAVANDA-FRANCESA-1L,"Aroma Lavanda Francesa - 1 L",1,visible,,
561,AR-MACCHIATO-150,"Aroma Macchiato - 150 mL",1,visible,,
562,AR-MACCHIATO-250,"Aroma Macchiato - 250 mL",1,visible,,
563,AR-MACCHIATO-500,"Aroma Macchiato - 500 mL",1,visible,,
564,AR-MACCHIATO-1L,"Aroma Macchiato - 1 L",1,visible,,
565,AR-MANGO-TROPICAL-150,"Aroma Mango Tropical - 150 mL",1,visible,,
