ID,Tipo,SKU,Nombre,Publicado,Visibilidad en el catálogo,Descripción corta,¿Existencias?,Inventario,Estado del impuesto,Precio normal,Categorías,Imágenes,Superior,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Atributo predeterminado 1,Meta: notas_de_salida,Meta: _notas_de_salida,Meta: notas_de_corazon,Meta: _notas_de_corazon,Meta: notas_de_fondo,Meta: _notas_de_fondo
,variation,AR-CORTEZA-250,Aroma Corteza 250 ML,1,visible,,1,100,taxable,125.00,Aromas,,AR-CORTEZA,Capacidad,250 ML,1,1,,,,,,,
,variation,AR-CORTEZA-500,Aroma Corteza 500 ML,1,visible,,1,100,taxable,229.00,Aromas,,AR-CORTEZA,Capacidad,500 ML,1,1,,,,,,,
,variation,AR-CORTEZA-1L,Aroma Corteza 1 L,1,visible,,1,100,taxable,439.00,Aromas,,AR-CORTEZA,Capacidad,1 L,1,1,,,,,,,
,variable,AR-DARK-MOTION,Aroma Dark Motion,1,visible,,1,,taxable,,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/dark-motion.png,,Capacidad,"150 ML, 250 ML, 500 ML, 1 L",1,1,150 ML,"Cuero negro, pimienta rosa",field_6a3739f9978a5,"Madera ahumada, incienso",field_6a373a0b978a6,"Ámbar oscuro, pachuli intenso",field_6a373a15978a7
,variation,AR-DARK-MOTION-150,Aroma Dark Motion 150 ML,1,visible,,1,100,taxable,90.00,Aromas,,AR-DARK-MOTION,Capacidad,150 ML,1,1,,,,,,,
,variation,AR-DARK-MOTION-250,Aroma Dark Motion 250 ML,1,visible,,1,100,taxable,125.00,Aromas,,AR-DARK-MOTION,Capacidad,250 ML,1,1,,,,,,,
,variation,AR-DARK-MOTION-500,Aroma Dark Motion 500 ML,1,visible,,1,100,taxable,229.00,Aromas,,AR-DARK-MOTION,Capacidad,500 ML,1,1,,,,,,,
,variation,AR-DARK-MOTION-1L,Aroma Dark Motion 1 L,1,visible,,1,100,taxable,439.00,Aromas,,AR-DARK-MOTION,Capacidad,1 L,1,1,,,,,,,
,variable,AR-DELICIA,Aroma Delicia,1,visible,,1,,taxable,,Aromas,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Delicia.png,,Capacidad,"150 ML, 250 ML, 500 ML, 1 L",1,1,150 ML,"Pera fresca, manzana verde",field_6a3739f9978a5,"Flor blanca, hojas verdes",field_6a373a0b978a6,"Ámbar suave, almizcle",field_6a373a15978a7
,variation,AR-DELICIA-150,Aroma Delicia 150 ML,1,visible,,1,100,taxable,90.00,Aromas,,AR-DELICIA,Capacidad,150 ML,1,1,,,,,,,
