ID,Tipo,SKU,"GTIN, UPC, EAN o ISBN",Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Día en que empieza el precio rebajado,Día en que termina el precio rebajado,Estado del impuesto,Clase de impuesto,¿Existencias?,Inventario,Cantidad de bajo inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (kg),Longitud (cm),Anchura (cm),Altura (cm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición,Marcas,Meta: difusor,Meta: _difusor,Meta: color,Meta: _color,Meta: cobertura,Meta: _cobertura,Meta: control,Meta: _control,Meta: app,Meta: _app,Meta: capacidad,Meta: _capacidad,Meta: cantidad_de_aroma_de_regalo,Meta: _cantidad_de_aroma_de_regalo
,simple,ND-110,,Box aromático Esencia viva,0,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,220,Boxes,,,,,,,,,,,,0,,ND-110,field_6a1ecd9ec803e,White,field_6a1ecdadc803f,10,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,Scent Marketing,field_6a1ece1dc8042,10 mL,field_6a1ece49c8043,150 ML,field_6a1eceecc8044
,simple,ND-300,,Box aromático Aire de serenidad,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,521,Boxes,,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_ND300.png,,,,,,,,,0,,ND-300,field_6a1ecd9ec803e,White,field_6a1ecdadc803f,70,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,Aroma-Link,field_6a1ece1dc8042,250 mL,field_6a1ece49c8043,250 ML,field_6a1eceecc8044
,simple,OV-5,,Box aromático Aura de confort,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,524,Boxes,,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_OV5.png,,,,,,,,,0,,OV-5,field_6a1ecd9ec803e,White,field_6a1ecdadc803f,70,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,Aroma-Link,field_6a1ece1dc8042,500 mL,field_6a1ece49c8043,250 ML,field_6a1eceecc8044
,simple,Pro-300,,Box aromático Prestige essence,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,724,Boxes,,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_PRO300.png,,,,,,,,,0,,Pro-300,field_6a1ecd9ec803e,White,field_6a1ecdadc803f,95,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,Aroma-Link,field_6a1ece1dc8042,300 mL,field_6a1ece49c8043,250 ML,field_6a1eceecc8044
,simple,ND-500,,Box aromático Armonía sofisticada,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,800,Boxes,,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_ND500.png,,,,,,,,,0,,ND-500,field_6a1ecd9ec803e,White,field_6a1ecdadc803f,200,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,Aroma-Link,field_6a1ece1dc8042,500 mL,field_6a1ece49c8043,250 ML,field_6a1eceecc8044
,simple,OS-5,,Box aromático Sensación suprema,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,1325,Boxes,,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_OS5WHITE.png,,,,,,,,,0,,OS-5,field_6a1ecd9ec803e,White,field_6a1ecdadc803f,450,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,Scent Marketing,field_6a1ece1dc8042,500 mL,field_6a1ece49c8043,250 ML,field_6a1eceecc8044
,simple,OW-010,,Box aromático Impacto integral,0,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,1825,Boxes,,,,,,,,,,,,0,,OW-010,field_6a1ecd9ec803e,Black,field_6a1ecdadc803f,800,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,Scent Marketing,field_6a1ece1dc8042,500 mL,field_6a1ece49c8043,250 ML,field_6a1eceecc8044
,simple,ECO,,Box aromático Eternidad aromática,0,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2424,Boxes,,,,,,,,,,,,0,,ECO,field_6a1ecd9ec803e,White,field_6a1ecdadc803f,2000,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,Aroma-Link,field_6a1ece1dc8042,5000 mL,field_6a1ece49c8043,250 ML,field_6a1eceecc8044
,simple,Mini AD-Scent,,Box aromático Impacto exclusivo,0,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,3424,Boxes,,,,,,,,,,,,0,,Mini AD-Scent,field_6a1ecd9ec803e,Black,field_6a1ecdadc803f,250,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,Aroma-Link,field_6a1ece1dc8042,500 mL,field_6a1ece49c8043,250 ML,field_6a1eceecc8044
