ID,Tipo,SKU,"GTIN, UPC, EAN o ISBN",Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Día en que empieza el precio rebajado,Día en que termina el precio rebajado,Estado del impuesto,Clase de impuesto,¿Existencias?,Inventario,Cantidad de bajo inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (kg),Longitud (cm),Anchura (cm),Altura (cm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición,Marcas,Meta: difusor,Meta: _difusor,Meta: color,Meta: _color,Meta: cobertura,Meta: _cobertura,Meta: control,Meta: _control,Meta: app,Meta: _app,Meta: capacidad,Meta: _capacidad,Meta: cantidad_de_aroma_de_regalo,Meta: _cantidad_de_aroma_de_regalo
,simple,Pro-300,,Box aromático Prestige essence,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,724,Boxes,,,,,,,,,,,,0,,Pro-300,field_6a1ecd9ec803e,White,field_6a1ecdadc803f,95,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,Aroma-Link,field_6a1ece1dc8042,300 mL,field_6a1ece49c8043,250 ML,field_6a1eceecc8044
,simple,ND-500,,Box aromático Armonía sofisticada,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,800,Boxes,,,,,,,,,,,,0,,ND-500,field_6a1ecd9ec803e,White,field_6a1ecdadc803f,200,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,Aroma-Link,field_6a1ece1dc8042,500 mL,field_6a1ece49c8043,250 ML,field_6a1eceecc8044
,simple,OP-7,,Box aromático Sublime intensidad,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,850,Boxes,,,,,,,,,,,,0,,OP-7,field_6a1ecd9ec803e,"Black, gold, silver",field_6a1ecdadc803f,70,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,Scent Marketing,field_6a1ece1dc8042,120 mL,field_6a1ece49c8043,150 ML,field_6a1eceecc8044
,simple,OS-6,,Box aromático Expansión esencial,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,975,Boxes,,,,,,,,,,,,0,,OS-6,field_6a1ecd9ec803e,Black,field_6a1ecdadc803f,300,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,Scent Marketing,field_6a1ece1dc8042,200 mL,field_6a1ece49c8043,250 ML,field_6a1eceecc8044
,simple,ND-700,,Box aromático Dominio Aromático,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,1105,Boxes,,,,,,,,,,,,0,,ND-700,field_6a1ecd9ec803e,White,field_6a1ecdadc803f,200,field_6a1ecdb7c8040,Wifi,field_6a1ecdbec8041,Scent Marketing,field_6a1ece1dc8042,850 mL,field_6a1ece49c8043,250 ML,field_6a1eceecc8044
,simple,OS-4,,Box aromático Experiencia suprema,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,1251,Boxes,,,,,,,,,,,,0,,OS-4,field_6a1ecd9ec803e,White,field_6a1ecdadc803f,400,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,Scent Marketing,field_6a1ece1dc8042,500 mL,field_6a1ece49c8043,250 ML,field_6a1eceecc8044
,simple,OS-5,,Box aromático Sensación suprema,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,1325,Boxes,,,,,,,,,,,,0,,OS-5,field_6a1ecd9ec803e,White,field_6a1ecdadc803f,450,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,Scent Marketing,field_6a1ece1dc8042,500 mL,field_6a1ece49c8043,250 ML,field_6a1eceecc8044
,simple,ND-800,,Box aromático Proyección aromática,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,1445,Boxes,,,,,,,,,,,,0,,ND-800,field_6a1ecd9ec803e,Black,field_6a1ecdadc803f,250,field_6a1ecdb7c8040,Wifi,field_6a1ecdbec8041,Scent Marketing,field_6a1ece1dc8042,500 mL,field_6a1ece49c8043,250 ML,field_6a1eceecc8044
,simple,OS-7,,Box aromático Magnitud sensorial,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,1525,Boxes,,,,,,,,,,,,0,,OS-7,field_6a1ecd9ec803e,White,field_6a1ecdadc803f,600,field_6a1ecdb7c8040,Wifi,field_6a1ecdbec8041,Scent Marketing,field_6a1ece1dc8042,850 mL,field_6a1ece49c8043,250 ML,field_6a1eceecc8044
,simple,OW-006,,Box aromático Poder aromático,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,1675,Boxes,,,,,,,,,,,,0,,OW-006,field_6a1ecd9ec803e,"White, Black",field_6a1ecdadc803f,650,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,Scent Marketing,field_6a1ece1dc8042,1000 mL,field_6a1ece49c8043,250 ML,field_6a1eceecc8044
,simple,OW-010,,Box aromático Impacto integral,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,1825,Boxes,,,,,,,,,,,,0,,OW-010,field_6a1ecd9ec803e,Black,field_6a1ecdadc803f,800,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,Scent Marketing,field_6a1ece1dc8042,500 mL,field_6a1ece49c8043,250 ML,field_6a1eceecc8044
,simple,OW-020,,Box aromático Presencia monumental,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2145,Boxes,,,,,,,,,,,,0,,OW-020,field_6a1ecd9ec803e,Black,field_6a1ecdadc803f,1000,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,Scent Marketing,field_6a1ece1dc8042,1000 mL,field_6a1ece49c8043,250 ML,field_6a1eceecc8044
,simple,ECO,,Box aromático Eternidad aromática,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2424,Boxes,,,,,,,,,,,,0,,ECO,field_6a1ecd9ec803e,White,field_6a1ecdadc803f,2000,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,Aroma-Link,field_6a1ece1dc8042,5000 mL,field_6a1ece49c8043,250 ML,field_6a1eceecc8044
,simple,OW-030,,Box aromático Alcance supremo,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2625,Boxes,,,,,,,,,,,,0,,OW-030,field_6a1ecd9ec803e,Black,field_6a1ecdadc803f,1500,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,Scent Marketing,field_6a1ece1dc8042,1000 mL,field_6a1ece49c8043,250 ML,field_6a1eceecc8044
,simple,Mini AD-Scent,,Box aromático Impacto exclusivo,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,3424,Boxes,,,,,,,,,,,,0,,Mini AD-Scent,field_6a1ecd9ec803e,Black,field_6a1ecdadc803f,250,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,Aroma-Link,field_6a1ece1dc8042,500 mL,field_6a1ece49c8043,250 ML,field_6a1eceecc8044
