ID,Tipo,SKU,"GTIN, UPC, EAN o ISBN",Nombre,Publicado,"¿Está destacado?","Visibilidad en el catálogo","Descripción corta",Descripción,"Día en que empieza el precio rebajado","Día en que termina el precio rebajado","Estado del impuesto","Clase de impuesto",¿Existencias?,Inventario,"Cantidad de bajo inventario","¿Permitir reservas de productos agotados?","¿Vendido individualmente?","Peso (kg)","Longitud (cm)","Anchura (cm)","Altura (cm)","¿Permitir valoraciones de clientes?","Nota de compra","Precio rebajado","Precio normal",Categorías,Etiquetas,"Clase de envío",Imágenes,"Límite de descargas","Días de caducidad de la descarga",Superior,"Productos agrupados","Ventas dirigidas","Ventas cruzadas","URL externa","Texto del botón",Posición,Marcas,"Meta: difusor","Meta: _difusor","Meta: color","Meta: _color","Meta: cobertura","Meta: _cobertura","Meta: control","Meta: _control","Meta: app","Meta: _app","Meta: capacidad","Meta: _capacidad","Meta: cantidad_de_aroma_de_regalo","Meta: _cantidad_de_aroma_de_regalo","Nombre del atributo 1","Valor(es) del atributo 1","Atributo visible 1","Atributo global 1"
261,simple,,,"Box aromático Experiencia suprema",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,1251,Boxes,,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_OS4WHITE.png,,,,,,,,,0,,OS-4,field_6a1ecd9ec803e,White,field_6a1ecdadc803f,400,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,"Scent Marketing",field_6a1ece1dc8042,"500 mL",field_6a1ece49c8043,"250 mL",field_6a1eceecc8044,,,,
262,simple,,,"Box aromático Proyección aromática",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,1445,"Boxes, Control Wi-Fi",,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_ND800.png,,,,,,,,,0,,ND-800,field_6a1ecd9ec803e,Black,field_6a1ecdadc803f,250,field_6a1ecdb7c8040,Wifi,field_6a1ecdbec8041,"Scent Marketing",field_6a1ece1dc8042,"500 mL",field_6a1ece49c8043,"250 mL",field_6a1eceecc8044,,,,
263,simple,,,"Box aromático Magnitud sensorial",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,1525,Boxes,,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_OS7.png,,,,,,,,,0,,OS-7,field_6a1ecd9ec803e,White,field_6a1ecdadc803f,600,field_6a1ecdb7c8040,Wifi,field_6a1ecdbec8041,"Scent Marketing",field_6a1ece1dc8042,"850 mL",field_6a1ece49c8043,"250 mL",field_6a1eceecc8044,,,,
264,simple,,,"Box aromático Presencia monumental",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2145,Boxes,,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_OW020.png,,,,,,,,,0,,OW-020,field_6a1ecd9ec803e,Black,field_6a1ecdadc803f,1000,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,"Scent Marketing",field_6a1ece1dc8042,"1000 mL",field_6a1ece49c8043,"250 mL",field_6a1eceecc8044,,,,
265,simple,,,"Box aromático Alcance supremo",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2625,Boxes,,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_OW030.png,,,,,,,,,0,,OW-030,field_6a1ecd9ec803e,Black,field_6a1ecdadc803f,1500,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,"Scent Marketing",field_6a1ece1dc8042,"1000 mL",field_6a1ece49c8043,"250 mL",field_6a1eceecc8044,,,,
780,variable,BOX-OV1,,"Box aromático Drive & Scent",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Boxes,,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_OV1WHITE.png,,,,,,,,,0,,OV-1,field_6a1ecd9ec803e,,,Auto,field_6a1ecdb7c8040,Manual,field_6a1ecdbec8041,Manual,field_6a1ece1dc8042,"10 ML",field_6a1ece49c8043,"150 ML",field_6a1eceecc8044,Color,"Black, White, Wood",1,1
781,variable,BOX-ND150,,"Box aromático Aroma delicado",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Boxes,,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_ND150WHITE.png,,,,,,,,,0,,ND-150,field_6a1ecd9ec803e,,,30,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,"Scent marketing",field_6a1ece1dc8042,"100 ML",field_6a1ece49c8043,"150 ML",field_6a1eceecc8044,Color,"Black, White",1,1
782,variable,BOX-OP7,,"Box aromático Sublime intensidad",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Boxes,,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_OP7BLACK.png,,,,,,,,,0,,OP-7,field_6a1ecd9ec803e,,,70,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,"Scent marketing",field_6a1ece1dc8042,"120 ML",field_6a1ece49c8043,"150 ML",field_6a1eceecc8044,Color,"Black, Gold, Silver",1,1
783,variable,BOX-OW006,,"Box aromático Poder aromático",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Boxes,,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_OW006WHITE.png,,,,,,,,,0,,OW-006,field_6a1ecd9ec803e,,,650,field_6a1ecdb7c8040,Bluetooth,field_6a1ecdbec8041,"Scent marketing",field_6a1ece1dc8042,"1000 ML",field_6a1ece49c8043,"250 ML",field_6a1eceecc8044,Color,"Black, White",1,1
785,variation,BOX-OV1-BLACK,,"Box aromático Drive & Scent - Black",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,273.00,,,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_OV1BLACK.png,,,BOX-OV1,,,,,,0,,,,,,,,,,,,,,,,Color,Black,,1
786,variation,BOX-OV1-WOOD,,"Box aromático Drive & Scent - Wood",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,273.00,,,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_OV1WOOD.png,,,BOX-OV1,,,,,,0,,,,,,,,,,,,,,,,Color,Wood,,1
784,variation,BOX-OV1-WHITE,,"Box aromático Drive & Scent - White",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,273.00,,,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_OV1WHITE.png,,,BOX-OV1,,,,,,0,,,,,,,,,,,,,,,,Color,White,,1
787,variation,BOX-ND150-WHITE,,"Box aromático Aroma delicado - White",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,342.00,,,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_ND150WHITE.png,,,BOX-ND150,,,,,,0,,,,,,,,,,,,,,,,Color,White,,1
788,variation,BOX-ND150-BLACK,,"Box aromático Aroma delicado - Black",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,342.00,,,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_ND150BLACK.png,,,BOX-ND150,,,,,,0,,,,,,,,,,,,,,,,Color,Black,,1
789,variation,BOX-OP7-BLACK,,"Box aromático Sublime intensidad - Black",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,850.00,,,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_OP7BLACK.png,,,BOX-OP7,,,,,,0,,,,,,,,,,,,,,,,Color,Black,,1
790,variation,BOX-OP7-GOLD,,"Box aromático Sublime intensidad - Gold",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,850.00,,,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_OP7GOLD.png,,,BOX-OP7,,,,,,0,,,,,,,,,,,,,,,,Color,Gold,,1
791,variation,BOX-OP7-SILVER,,"Box aromático Sublime intensidad - Silver",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,850.00,,,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_OP7SILVER.png,,,BOX-OP7,,,,,,0,,,,,,,,,,,,,,,,Color,Silver,,1
793,variation,BOX-OW006-BLACK,,"Box aromático Poder aromático - Black",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,1675.00,,,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_OW006BLACK.png,,,BOX-OW006,,,,,,0,,,,,,,,,,,,,,,,Color,Black,,1
792,variation,BOX-OW006-WHITE,,"Box aromático Poder aromático - White",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,1675.00,,,,https://vaporis.pruebalucuma.site/wp-content/uploads/2026/06/Difusor-Dif_OW006WHITE.png,,,BOX-OW006,,,,,,0,,,,,,,,,,,,,,,,Color,White,,1
